Total Revenues,Total Expenditures,Enrollment,Average Math Score (4th Grade),Average Math Score (8th Grade),Average Reading Score (4th Grade),Average Reading Score (8th Grade)
8616009.0,8472536.0,843120.0,,,,
8826868.0,8699125.0,851063.0,246.975708032011,289.68180010957997,226.663219629357,271.00908694257197
9162406.0,9286626.0,865231.0,,,,
9648297.0,9557682.0,872320.0,241.563575620412,285.539188724412,224.023224923274,268.073225333677
10123271.0,9878524.0,880678.0,,,,
,,,240.69501661550498,286.247717546748,224.691618694193,270.338688509674
,,,,269.86641896965,,
,,,226.79848003762402,273.739344572132,221.612642451919,
4064158.0,4079943.0,471918.0,,,,
4268860.0,4132350.0,479522.0,,,222.417598625519,
4420632.0,4252186.0,489513.0,,,,
4686025.0,4538234.0,499815.0,232.02657385064,279.591244854912,,
4788489.0,4642835.0,507838.0,,,,
5024673.0,4810851.0,515141.0,,,231.598304622903,271.566770262617
5460213.0,5269517.0,522415.0,,,,
5884078.0,5605280.0,530363.0,234.24337472598702,281.902485561834,,
6331569.0,5987680.0,537521.0,,,,
6644334.0,6475918.0,543829.0,,,229.381142779797,267.03207277544703
6959891.0,6751815.0,548466.0,240.61524163452302,283.729811207579,228.340614955382,267.218075351081
7276945.0,7087023.0,552505.0,,,,
7898694.0,7452057.0,552512.0,242.12073236174197,281.068953005311,225.753019686927,264.012759246181
8436197.0,7982143.0,549744.0,,,,
8913149.0,8685421.0,549230.0,242.755646830159,282.472790062009,227.203649213779,267.055691390062
9322225.0,9046750.0,544417.0,,,,
9681268.0,9323053.0,539250.0,244.717742733409,288.608513451696,228.97211669940899,271.810133169712
9726922.0,9542108.0,534800.0,,,,
9783168.0,9439182.0,530132.0,242.413406903396,286.999944694085,227.42730425383598,274.681399470751
10070907.0,9791336.0,522451.0,,,,
10319361.0,9758850.0,517812.0,243.440297394202,285.243972274119,229.58159936534,274.459542474537
10743919.0,10201500.0,511082.0,,,,
11099837.0,10542667.0,505366.0,240.159468855002,283.956677264342,228.947543364196,273.048030410963
11419673.0,10826431.0,499494.0,,,,
,,,239.237650900737,284.144330330682,228.35531240737004,272.53771145623404
,,,,260.696858717319,,
,,,217.899972448292,262.868585398892,212.92345013738,
683954.0,694534.0,104355.0,,,,
705798.0,732323.0,103782.0,,,206.38905171429198,
802018.0,772669.0,106813.0,,,,
860410.0,823530.0,108461.0,215.025101739945,266.733673323772,,
898926.0,889631.0,110245.0,,,,
934530.0,915207.0,111428.0,,,212.00256328748,255.88232724792005
1004472.0,960335.0,112320.0,,,,
1098555.0,1040480.0,112743.0,,,,
1153831.0,1175717.0,112055.0,,,,
1180255.0,1246284.0,111331.0,,,224.303558406048,267.27419015820703
1242436.0,1317447.0,111282.0,235.859424549367,277.158368932433,223.928811406218,264.532051451005
1334523.0,1373416.0,111520.0,,,,
1431710.0,1480157.0,112562.0,239.71691237716598,280.95354283122003,225.83845909292003,266.00936537348
1544615.0,1646885.0,114371.0,,,,
1694929.0,1705204.0,114678.0,241.794894891207,282.992082743316,225.07054230184897,264.544830664544
1694998.0,1746925.0,114062.0,,,,
1718993.0,1798244.0,116804.0,239.490569439364,283.829472979958,225.513086784412,264.998966063101
1733458.0,1758988.0,117628.0,,,,
1759170.0,1808905.0,119878.0,240.359832433478,282.769966403216,225.13051109460702,265.83947553632004
1855867.0,1915966.0,118624.0,,,,
1930466.0,1924626.0,118685.0,243.107758182676,282.338298596548,225.77165116252002,265.98498149856204
1954374.0,1988535.0,120623.0,,,,
2017075.0,1975093.0,121845.0,238.67801881991002,279.810243773994,223.69869684708098,262.613290731544
2043577.0,2041952.0,121225.0,,,,
,,,236.12756170618698,278.023498869959,221.482217417377,263.089089818878
,,,,231.366196651827,,
,,,192.60055314202802,234.924621328025,188.139887302877,
721151.0,719440.0,80937.0,,,,
735720.0,769818.0,80678.0,,,178.557611651728,
700111.0,708224.0,80450.0,,,,
678874.0,703245.0,79802.0,187.134669958413,232.831509532896,,
711625.0,686059.0,78648.0,,,,
706938.0,716740.0,77111.0,,,181.626990470712,236.37910176331403
758072.0,738942.0,71889.0,,,,
881423.0,858807.0,70762.0,193.28977448330102,234.428798057957,,
1042261.0,1026146.0,68925.0,,,,
1138126.0,1145684.0,68449.0,,,190.518073061148,239.81052471406798
1114061.0,1105963.0,67522.0,204.919850427599,243.05963824765098,188.374478503638,238.700733278197
1081501.0,1087040.0,65099.0,,,,
1109605.0,1085658.0,62306.0,211.122298531209,245.215780768922,190.78735568684,238.20309296002998
1092863.0,1081887.0,59616.0,,,,
1148358.0,1140506.0,56943.0,213.698898810354,248.198742417967,197.08595039547401,240.793624795109
1224312.0,1224785.0,58191.0,,,,
801008.0,805362.0,44331.0,219.260141025805,253.595186871272,201.984637739722,242.49042430531398
1195934.0,1290048.0,43866.0,,,,
1283071.0,1297175.0,44199.0,221.808283121753,260.46687784992,200.627987932281,242.056368171996
1331006.0,1189542.0,44618.0,,,,
1300036.0,1308438.0,44179.0,228.56725387257598,265.259365712508,205.613936927868,247.739153738325
1342220.0,1313289.0,44942.0,,,,
1382282.0,1360942.0,46155.0,231.307525116183,263.059776256545,212.305347670353,247.65344494672402
1329719.0,1322563.0,48336.0,,,,
,,,231.320462145503,265.779770573735,213.38200876623299,246.78775540229
,,,,,,269.164666217334
,,,,,,272.913744585382
,,,,,,271.790968707121
,,,,,,270.508740857412
,,,,,,272.692552866005
,,,,,,272.45931634873904
,,,,,,272.349959976913
,,,,,,276.994367424941
,,,,,,277.191363427262
,,,,,,280.499129965249
,,,,255.31842870904399,,
,,,213.68975116346803,259.90884818230097,208.308035013525,
11370156.0,11425183.0,1980569.0,,,,
12315950.0,12469073.0,2039884.0,,,204.882606345676,
13242710.0,13473977.0,2107514.0,,,,
13684457.0,13936240.0,2175352.0,215.763582637868,263.63939360129797,,
14363709.0,14564750.0,2241298.0,,,,
15595671.0,15155383.0,2292161.0,,,207.297609369791,253.334826741604
17093036.0,16156822.0,2333567.0,,,,
17558787.0,17180954.0,2377271.0,,,,
18467090.0,18389394.0,2431884.0,,,,
18541689.0,19051049.0,2500179.0,,,214.404597570145,261.053655909529
19549835.0,20180142.0,2536699.0,233.72881145807003,271.371490239171,218.014488158342,257.30131978689604
21623923.0,21896220.0,2592997.0,,,,
23216404.0,23857012.0,2645280.0,238.930649601433,274.04837689747995,219.465222176412,255.77997000492599
25423686.0,26609155.0,2663973.0,,,,
28898362.0,29849892.0,2656176.0,242.02025001892997,277.383497256758,223.534926816656,259.790720651776
30001821.0,31219589.0,2645680.0,,,,
26494500.0,28867429.0,2623067.0,241.944909379496,279.33526411278,225.67340734479401,264.362040854787
26231141.0,27267009.0,2627390.0,,,,
26453693.0,26991946.0,2636404.0,239.826451038787,277.837035214102,224.528585389604,262.121374840411
24139266.0,25352047.0,2658559.0,,,,
24681548.0,25245400.0,2680074.0,241.675809566843,280.855839554008,227.46317661052,265.828297127322
26077462.0,26523658.0,2708022.0,,,,
26971491.0,27277049.0,2743641.0,242.66432092861402,275.32381795874903,227.188968975009,263.383001406664
28125598.0,27945116.0,2776933.0,,,,
,,,246.367695779459,279.120415156315,228.27262205238202,266.553368977303
,,,,258.849663447908,,
,,,215.594906163657,259.359433593101,212.34088993417,
4716559.0,4647974.0,893557.0,,,,
6824191.0,6597359.0,1235304.0,,,206.84417466208,
7052825.0,7292267.0,1270948.0,,,,
7764687.0,7934236.0,1311126.0,215.455861748735,262.466020943521,,
8248199.0,8483477.0,1346761.0,,,,
9207163.0,8990897.0,1375980.0,,,209.818703890167,257.073154114235
10380164.0,10106670.0,1401291.0,,,,
11197766.0,10884510.0,1422941.0,219.556757129447,266.332047317995,,
12271962.0,11853800.0,1444937.0,,,,
13042229.0,12690343.0,1470634.0,,,214.81843751796902,258.005481643787
13524807.0,13516783.0,1495819.0,230.254976798559,269.677009232403,213.597219332523,257.714824971911
14136215.0,13779680.0,1522424.0,,,,
14724731.0,14492666.0,1552758.0,233.635737790752,272.191564411022,214.430920543413,256.872381537265
16165924.0,15839227.0,1597682.0,,,,
17755989.0,17389530.0,1628409.0,235.209017091471,274.778664644925,218.888171260588,258.70499279233997
18683630.0,19172087.0,1646010.0,,,,
17972839.0,19025136.0,1649598.0,236.029572886478,277.561199732371,217.84810573368802,260.244524519648
17839851.0,17834488.0,1660643.0,,,,
18030043.0,17187481.0,1666039.0,238.366542086539,278.483619188656,220.810720110917,262.358643383963
17559894.0,17400209.0,1669156.0,,,,
17459504.0,17317504.0,1682620.0,240.04723664592998,279.179110912454,221.83671251456798,264.615713463699
17821620.0,17668352.0,1699185.0,,,,
18584666.0,18501103.0,1717805.0,236.452519256357,278.711796774375,222.013497271819,262.268605314622
19403453.0,19158388.0,1727085.0,,,,
,,,236.383603027145,281.035487532394,219.682925180546,266.33044082589
,,,,251.021316528152,,
,,,214.056666073088,257.41088740917303,203.426628130352,
1062475.0,1063090.0,177448.0,,,,
1133949.0,1146267.0,181212.0,,,200.88027220468,
1173579.0,1157159.0,183869.0,,,,
1199019.0,1231550.0,187104.0,214.96556158973,262.130081659249,,
1213792.0,1241375.0,187653.0,,,,
1279125.0,1266378.0,189887.0,,,199.70168159445598,249.689755497402
1328572.0,1357649.0,188069.0,,,,
1404895.0,1363511.0,185860.0,215.846798551931,262.772560543574,,
1682332.0,1363164.0,184360.0,,,,
1889600.0,1436637.0,184546.0,,,207.58544265837398,251.613131557334
2078877.0,1602392.0,183829.0,226.834610206384,265.728581015081,208.259567530742,251.284801856226
2138137.0,1734591.0,183609.0,,,,
2274166.0,1765805.0,183185.0,230.096875403391,265.629319114115,209.578767644628,248.50542302122102
2705532.0,1939968.0,182818.0,,,,
2985593.0,2199604.0,180728.0,234.286134982354,268.77201335193297,213.496554967804,251.33081069192403
2541703.0,2242408.0,179897.0,,,,
2689758.0,2318671.0,179478.0,235.679780829025,273.758606683625,210.61641868593998,254.738979931593
2564856.0,2215458.0,180196.0,,,,
2499513.0,2259104.0,179601.0,238.82192776062,277.836211052583,213.61457117423,257.188010446519
2535038.0,2344733.0,182706.0,,,,
2331770.0,2345917.0,184760.0,243.308618941163,281.41292228842497,214.843879930676,259.96056954683496
2696766.0,2504144.0,186825.0,,,,
2703683.0,2521004.0,182384.0,237.895806837329,279.340145034503,215.124313046421,257.35043981355
3030519.0,2733094.0,181995.0,,,,
,,,237.919768737113,277.336845826814,216.364536553619,260.982318855375
,,,,271.44977262326,,
,,,221.56253448882998,275.09029414145,219.317028208157,
890835.0,899819.0,231632.0,,,,
949999.0,974781.0,236774.0,,,,
1083215.0,1108075.0,240448.0,,,,
1134052.0,1198223.0,243097.0,,,,
1200186.0,1293705.0,245252.0,,,,
1310960.0,1342719.0,244403.0,,,,
1405250.0,1409367.0,244623.0,,,,
1452222.0,1467977.0,245226.0,226.89378450457298,277.917913542907,,
1571348.0,1535485.0,243926.0,,,,
1625444.0,1666027.0,244937.0,,,220.217616989796,266.499769185748
1685984.0,1726941.0,248515.0,234.943764703458,279.939266837246,218.25988551638,264.439775716816
1733838.0,1744954.0,252037.0,,,,
1796035.0,1819519.0,253782.0,241.65011574286498,280.966896649599,221.85951138201,264.301743791415
1875346.0,1903720.0,258314.0,,,,
2011951.0,1960472.0,262935.0,240.90284353732002,283.507595771493,223.404065315834,264.88634244604697
2151476.0,2001328.0,265844.0,,,,
2182273.0,2078446.0,267951.0,241.04280230401298,287.305215052426,221.022924421352,264.837184984886
2177999.0,2098737.0,266613.0,,,,
2089982.0,1960818.0,265713.0,240.328832465338,286.675063250389,220.82977062233996,268.014671593394
1981482.0,1911706.0,267556.0,,,,
2015534.0,1967676.0,272070.0,240.722019842936,286.413881629757,219.30298595179198,270.22416855056196
2084970.0,2012852.0,281452.0,,,,
2167967.0,2029520.0,274131.0,238.79962471268502,283.742325345327,221.69006616565898,268.553479550783
2266490.0,2100980.0,274849.0,,,,
,,,239.96751408118098,284.371732938877,222.791065689088,269.673095440861
,,,,260.551434334685,,
10584624.0,10744695.0,1856841.0,,,,
11309803.0,10743708.0,1875956.0,,,,
12236673.0,11821661.0,1897161.0,,,,
12732129.0,12423100.0,1924970.0,,,,
13929105.0,13920593.0,1952892.0,,,,
14688777.0,15207067.0,1972406.0,,,,
16208970.0,16783840.0,1987427.0,,,,
17595047.0,18073190.0,2003839.0,224.930411301324,276.909459049332,,
18534372.0,19337580.0,2025249.0,,,,
19084554.0,20563001.0,2047836.0,,,,
19627346.0,21278177.0,2062664.0,232.856775292011,277.16008095632196,216.3042879829,266.408968905567
21082441.0,21681903.0,2079027.0,,,,
21611180.0,22035569.0,2072437.0,233.067493972686,277.672238913307,216.489719991402,263.517029687837
22724326.0,22622323.0,2097585.0,,,,
23897153.0,23401917.0,2101075.0,237.28704131937099,280.497096028329,219.386811378061,262.826617097915
25431714.0,25696866.0,2099118.0,,,,
26987426.0,27716187.0,2117291.0,238.28566884936,282.43141699208803,219.16577996227002,264.514002261585
28253620.0,28560306.0,2098401.0,,,,
29507584.0,28525858.0,2072114.0,238.836878932328,283.228134687939,219.35749825998798,265.643729382276
29900021.0,29067543.0,2071481.0,,,,
30057886.0,29517831.0,2069823.0,239.00020401700297,284.89764716416903,218.540183872207,266.898720958132
31085621.0,31080869.0,2060632.0,,,,
32096832.0,32410033.0,2047123.0,237.307813789509,281.968567276813,222.02226769547298,266.806728332711
32908958.0,33037244.0,2030717.0,,,,
,,,238.11894743567402,281.617997668016,220.365898453327,266.928549776657
,,,,267.265914915861,,
,,,221.03774247419497,270.098943937619,221.146484876227,
5833420.0,5668599.0,958052.0,,,,
6121754.0,6061435.0,963071.0,,,219.76325753607497,
6514934.0,6377558.0,966622.0,,,,
6422662.0,6644035.0,975455.0,229.39444358509,275.52903680476396,,
7885141.0,7325086.0,981546.0,,,,
7656749.0,7649103.0,985690.0,,,,
8167164.0,8196714.0,986891.0,,,,
8489991.0,8518477.0,987214.0,234.421428848088,283.05122925517503,,
9124748.0,8991877.0,987854.0,,,,
9273957.0,9353054.0,994348.0,,,221.88034682187,264.88812111338103
8246076.0,9777720.0,999713.0,237.96827988706298,281.220939756711,220.40649112667901,264.832532267553
10423578.0,10312694.0,1005587.0,,,,
11653165.0,11071431.0,1014528.0,240.06909881046798,281.714945536305,218.072533254427,261.013686455544
11578988.0,11260755.0,1026106.0,,,,
10458932.0,11462062.0,1034588.0,245.14425495640302,285.007210900174,221.673092302826,264.095960900362
11340157.0,10865851.0,1033329.0,,,,
12999357.0,11218398.0,1028259.0,242.616809561118,286.809977886735,222.659480848241,265.69124060951
14023240.0,11502534.0,1026053.0,,,,
12125155.0,11113533.0,1023220.0,243.836875966553,285.00291608665003,220.731342685885,264.729844537772
12395432.0,11351906.0,1006627.0,,,,
12236713.0,11211155.0,1002772.0,248.59677735800202,287.767653833023,225.33234084693902,267.272974657765
12399402.0,11136045.0,1007121.0,,,,
12456571.0,11378564.0,1004215.0,247.65218362008702,287.175201077669,227.278891330949,268.25346768003504
12732161.0,11535287.0,1002696.0,,,,
,,,246.513750055807,287.705639463898,226.417994745998,272.023875675737
,,,,277.96856952118,,
,,,229.88407790241,283.360009038918,225.49017144569697,
2880731.0,2889377.0,493957.0,,,,
2987394.0,2974072.0,497925.0,,,222.85293897815498,
3076971.0,3100772.0,498837.0,,,,
3258040.0,3284185.0,502343.0,229.12619839613498,283.986368602787,,
3406582.0,3485339.0,502941.0,,,,
3589705.0,3650286.0,501054.0,,,223.045210304491,
3740509.0,3789049.0,498214.0,,,,
3822452.0,3974813.0,497301.0,232.896934923163,,,
4068110.0,4211493.0,495080.0,,,,
4191217.0,4418238.0,485932.0,,,223.330640850894,
4374803.0,4517990.0,482210.0,238.476694547401,283.95334474435504,223.271129818993,267.5048316647
4396136.0,4443289.0,481226.0,,,,
4638125.0,4599549.0,478319.0,239.880801811134,283.81092883167196,220.80940018770698,267.00317168531103
4898509.0,4930613.0,483482.0,,,,
5194536.0,5198975.0,483122.0,242.819589303779,285.226903146597,224.89479538694698,267.450719560442
5496908.0,5495756.0,485114.0,,,,
5732319.0,5732186.0,487559.0,242.59564400257702,284.170178554705,221.422298113147,264.888126041644
5744872.0,5941449.0,491255.0,,,,
6098470.0,6057294.0,493493.0,242.60487294847198,284.92083605870397,220.70744695489498,264.55452746182596
6262807.0,6256926.0,495870.0,,,,
6281345.0,6318241.0,499489.0,245.793505546843,285.07013777479,223.81580463461103,269.003449619325
6455928.0,6541553.0,501763.0,,,,
6714410.0,6772654.0,505311.0,243.339911874178,286.41621998599,223.62939884096,268.200596266662
6919477.0,6972412.0,508014.0,,,,
,,,243.107484364402,286.239418158172,221.74726754679,267.675678851787
2386945.0,2522542.0,451469.0,,,,
2700587.0,2643192.0,457744.0,,,,
2826943.0,2756682.0,460905.0,,,,
2914544.0,3007653.0,463008.0,,,,
3029537.0,2949608.0,466368.0,,,,
3207670.0,3087318.0,468980.0,,,222.184880032678,267.78819544201303
3390596.0,3189867.0,469758.0,,,,
3518271.0,3327090.0,469377.0,231.95343457542302,283.679619149647,,
3681845.0,3491029.0,468347.0,,,,
3823261.0,3690815.0,470204.0,,,221.97833137733502,269.11593569735
4068800.0,3818740.0,470264.0,241.74736576191398,284.19108805230303,220.14322971260398,266.011689626198
4377709.0,3982036.0,469824.0,,,,
4223632.0,4076597.0,468481.0,245.782046485738,284.030053484553,220.468749319458,266.831233242163
4648920.0,4439000.0,467279.0,,,,
5038100.0,4823931.0,468974.0,247.923654192161,290.03259982925704,224.65836220092098,267.413790936682
5378095.0,5122049.0,467743.0,,,,
5615208.0,5827751.0,470445.0,245.308653571101,288.596403041255,223.924213283757,266.799519310717
5454128.0,5979429.0,471406.0,,,,
5538869.0,5662146.0,482692.0,246.25533479144298,289.61928267473996,223.565091158237,267.336395789343
5613619.0,5615714.0,485591.0,,,,
5667223.0,5621023.0,488590.0,246.18570187094397,289.518256078135,223.386368779104,266.887523609855
5813985.0,5957954.0,496034.0,,,,
5991731.0,6175724.0,496920.0,241.067208517258,283.871096311731,221.08988042430698,266.76553060986
6069563.0,6134836.0,495545.0,,,,
,,,241.21280456721001,285.283507884924,223.268429173451,267.490027797007
,,,,257.097205859974,,
,,,215.048157721324,262.241281641376,212.51166677896703,
2381148.0,2283431.0,489281.0,,,,
2491948.0,2392549.0,490069.0,,,211.562307283476,
3508673.0,3415870.0,639992.0,,,,
3622788.0,3826435.0,639531.0,219.988194977368,266.591684017917,,
3842885.0,3903139.0,631592.0,,,,
3938009.0,4018512.0,645232.0,,,217.53088006176003,262.06171356024504
4188131.0,4305678.0,653628.0,,,,
